danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0.708,0.737,1,-4.045,1,0.0436,0.0739,0.00162,0.0955,0.607,91.986,197920
0.706,0.691,0,-4.775,1,0.0633,0.0584,6.99e-05,0.0232,0.632,118.048,200600
0.687,0.606,7,-5.92,1,0.0262,0.178,0.000326,0.083,0.748,80.569,206307
0.578,0.654,1,-12.421,0,0.0562,0.121,3.62e-06,0.0673,0.621,129.513,216467
0.621,0.782,2,-5.548,1,0.044,0.0125,0.033,0.23,0.55,128.033,198938
0.18,0.226,9,-16.457,0,0.042,0.951,0.982,0.0998,0.048,94.079,126960
0.447,0.449,2,-10.634,1,0.0376,0.934,0.961,0.0697,0.036,92.468,315427
0.689,0.735,2,-4.545,1,0.267,0.00922,0.00072,0.365,0.059,171.403,320627
0.936,0.887,9,-2.76,0,0.0683,0.0292,1.88e-06,0.0582,0.889,127.003,227239
0.486,0.623,4,-8.264,1,0.0358,0.734,0.536,0.0509,0.525,86.007,370200
0.655,0.797,2,-4.787,1,0.153,0.198,0.0,0.067,0.839,177.928,229360
0.315,0.715,11,-8.072,0,0.0362,0.00125,7.97e-06,0.0942,0.497,155.925,289533
0.561,0.595,9,-4.53,1,0.0274,0.199,6.47e-05,0.132,0.144,104.006,267960
0.429,0.661,11,-7.227,1,0.0281,0.00239,0.000121,0.234,0.285,173.372,266773
0.557,0.442,5,-7.224,1,0.0243,0.731,1.46e-05,0.11,0.213,146.277,309600
0.424,0.588,9,-5.455,1,0.0278,0.0553,4.95e-06,0.298,0.193,144.636,226680
